candidate,label,selection_scope,tax_mode,total_return,cagr,sharpe,max_drawdown,calmar,transaction_cost_krw,gross_traded_krw,end_equity,taxable,distribution_gross_krw,distribution_tax_krw,realized_safe_gain_tax_krw,total_modeled_tax_krw,worst_5y_total_return,pass_all,selected_eligible,gate_mdd,gate_sharpe,gate_calmar,gate_cagr,gate_worst5y,gate_integrity,diagnostic_start,selected_full_history
cash_zero,40% zero-yield cash,full_history,baseline,0.8457483290263299,0.07750006662450137,0.6725646883987122,-0.2722106351729383,0.28470624072150874,1211825.27840813,250230804.4949086,184574832.90263298,False,0.0,0.0,0.0,0.0,-0.001807646785336292,True,True,,,,,,,,False
214980,KODEX 단기채권PLUS,full_history,gross,0.989171185771536,0.08736527722733056,0.7474765366078041,-0.25544108293536827,0.3420173302719506,1999913.8667587852,422379316.9588606,198917118.5771536,False,1710092.0,0.0,0.0,0.0,0.03414227092638189,False,False,,,,,,,,False
214980,KODEX 단기채권PLUS,full_history,conservative_after_tax,0.9720481188892278,0.08622096123962564,0.7387764524340132,-0.2563973293173031,0.33627870254811965,1993755.2167788069,421072457.44780123,197204811.88892278,True,1708158.0,263056.332,1175692.826,1438749.1579999998,0.032115754916177686,True,True,True,True,True,True,True,True,,True
273140,KODEX 단기변동금리부채권액티브,full_history,gross,0.9869393472244379,0.087216617306624,0.7466077722829959,-0.25724601510126854,0.3390397214599804,1977437.0478951042,417418276.9166145,198693934.7224438,False,1616570.0,0.0,0.0,0.0,0.03385397546207192,False,False,,,,,,,,False
273140,KODEX 단기변동금리부채권액티브,full_history,conservative_after_tax,0.9702671425670935,0.08610144006213738,0.7381123532048341,-0.25809223834157624,0.33360724295856226,1974827.2797874534,416893611.8682127,197026714.25670934,True,1614700.0,248663.80000000002,1170521.0440000007,1419184.8440000007,0.03203901089445016,True,True,True,True,True,True,True,True,,False
423160,KODEX KOFR금리액티브,post_inception_diagnostic_price_only,not_selection_eligible,0.8323547977835011,0.16804842038232892,1.2291523898232792,-0.1359946216623561,1.2356990175652325,1641443.3781280601,345903656.6603516,183235479.7783501,,,,,,,False,False,,,,,,,20220426,False
459580,KODEX CD금리액티브,post_inception_diagnostic_price_only,not_selection_eligible,0.7294022521177921,0.21765190056084616,1.41992362173152,-0.13602402319074192,1.6000989785138189,1502289.8146002698,317299399.905309,172940225.2117792,,,,,,,False,False,,,,,,,20230608,False
