cadence_days,n_rebalances,total_return,cagr,sharpe,max_drawdown,calmar,transaction_cost_krw,gross_traded_krw,end_equity,tracking_error,cagr_gap_vs_fractional,sharpe_gap_vs_fractional,mdd_gap_vs_fractional,transactions_per_year,gross_turnover_per_year,fidelity_pass,subperiod_stability_pass,selection_eligible,performance_plateau
21,96,1.5446984275151014,0.12047633819625259,0.6691450352350173,-0.4332958700384445,0.2780463570667388,2199060.1310027516,453864717.360053,254469842.75151014,0.03664657897968495,0.013522526325381756,0.0698238803707607,-0.023610222946597426,23.39159439626418,0.21673607400809955,True,True,True,True
42,48,1.5534137496286116,0.12094300977020955,0.671170089291581,-0.43237841558978996,0.27971565047999924,2029678.0511991363,416068221.8189058,255341374.96286115,0.036629004103181415,0.013989197899338723,0.07184893442732432,-0.022692768497942883,11.69579719813209,0.17408603786666715,True,True,True,True
63,32,1.555284774180453,0.12104301342919954,0.6715759762634413,-0.43334498709585745,0.27932251908667954,1944877.0925574936,397200830.67708683,255528477.41804528,0.0366306012628466,0.014089201558328712,0.07225482139918471,-0.023659340004010376,7.7971981320880595,0.15322800271004802,True,True,True,True
84,24,1.5557059758787455,0.1210655172058861,0.671471279920032,-0.43354248282924257,0.27924718338057225,1906706.264232622,388717546.75122553,255570597.58787456,0.03663169389929824,0.014111705335015268,0.07215012505577534,-0.0238568357373955,5.847898599066045,0.14400496270916627,True,True,True,True
