strategy,instrument_count,codes,total_return,cagr,sharpe,max_drawdown,calmar,transaction_cost_krw,gross_traded_krw,end_equity,tracking_error,cagr_gap_vs_fractional,sharpe_gap_vs_fractional,mdd_gap_vs_fractional,coverage_ratio,gate_tracking_error,gate_cagr_gap,gate_sharpe_gap,gate_mdd_gap,gate_coverage,performance_fidelity_pass
kodex_kospi,1,226490,1.7123665105975103,0.12921790841701508,0.7165064307604575,-0.4127259002708583,0.313084079124217,1848831.138638226,372387923.6532971,271236651.05975103,0.041020921616230326,0.022264096546144252,0.11718527589620087,-0.003040253179011243,1.0,True,False,False,True,True,False
kodex_200,1,069500,2.0830933910739375,0.1469750732409254,0.7608200435087227,-0.3808973415992434,0.3858653164231413,2053858.5737936157,409665639.13609517,308309339.10739374,0.04282559934635562,0.04002126137005457,0.16149888864446604,0.028788305492603694,1.0,True,False,False,True,True,False
kodex_kospi_kq150_split,2,226490+229200,1.5534137496286116,0.12094300977020955,0.671170089291581,-0.43237841558978996,0.27971565047999924,2029678.0511991363,416068221.8189058,255341374.96286115,0.03662900410318135,0.013989197899338723,0.07184893442732432,-0.022692768497942883,1.0,True,True,True,True,True,True
kodex_200_kq150_split,2,069500+229200,1.879730137960264,0.13748251320009008,0.7176067903002917,-0.4048023799254178,0.33962871766075176,2215880.332938042,450153653.06868386,287973013.7960264,0.03479474180273337,0.030528701329219254,0.1182856354360351,0.004883267166429284,1.0,True,False,False,True,True,False
