cadence_days,period,return,sharpe,mdd
21,2018_2021,0.2568442998014808,0.40181925562044385,-0.4332958700384445
21,2022_2024,-0.15874020351589013,-0.23656665971864888,-0.2820708946533447
21,2025_2026,1.3978691038692115,2.6932660302582696,-0.19344671616982867
42,2018_2021,0.2578454196264395,0.40292723522861884,-0.43237841558978996
42,2022_2024,-0.1571053255250533,-0.2326957585424841,-0.28172736420861944
42,2025_2026,1.3995395287868226,2.6949291090909977,-0.19347240648123198
63,2018_2021,0.2579790254138623,0.40303979337891466,-0.43334498709585745
63,2022_2024,-0.1565374080531443,-0.23135627181002447,-0.28151450800050526
63,2025_2026,1.3993137865000356,2.6947932782334636,-0.1934744398595427
84,2018_2021,0.2568494007294835,0.4017433097344106,-0.43354248282924257
84,2022_2024,-0.15641585134972957,-0.2308042087563303,-0.2815949853588605
84,2025_2026,1.4015453093228967,2.6970248773559193,-0.19350443884440538
