strategy,status,total_return,cagr,sharpe,max_drawdown,calmar,transaction_cost_krw,sharpe_delta_vs_cap,cagr_alpha_vs_cap
universe_cap,research_winner,1.3032397123466533,0.10695381187087083,0.5993211548642566,-0.40968564709184707,0.2610631166360899,2587128.657209873,0.0,0.0
lowvol_trend_long_reversal,best_active_but_rejected,0.8394313408309648,0.07705026375642587,0.4708767817701679,-0.5159393048252803,0.14933978286945687,28616126.53340335,-0.12844437309408874,-0.029903548114444956
lowvol_trend_corrected,rejected,0.7847855813439479,0.07310153239407402,0.4493890145082543,-0.5252753950008577,0.13916801184634708,25696904.98410505,-0.149932140355, -0.033852278477
q5_proxy,rejected,0.5448429070758174,0.05439741971727097,0.3539518982717717,-0.46529400142044497,0.11690978080784849,13490934.9356182,-0.24536925659248493,-0.05255639215359986
kr_core_portable_corrected,rejected,0.27369316800674914,0.02990201312505336,0.2487188565548714,-0.47880850822758136,0.06245088090799068,26531189.128725,-0.3506022983093852,-0.07705179874581747
portable_full_ml,rejected,0.019502531837689796,0.0023551293136123697,0.1270023557983319,-0.5889290785340873,0.003999003274680475,21337649.81373105,-0.4723187990659247,-0.10459868255725846
