equity_exposure,cash_target,total_return,cagr,sharpe,max_drawdown,calmar,transaction_cost_krw,gross_traded_krw,end_equity,pre2025_return,pre2025_sharpe,sp_2018_2021_sharpe,sp_2022_2024_sharpe,sp_2025_2026_sharpe,longest_underwater_trading_days,longest_underwater_calendar_days,gate_mdd_le_30,gate_sharpe_floor,gate_calmar_floor,gate_cagr_ge_6,gate_pre2025_positive,gate_subperiod_stability,gate_underwater_not_longer,all_pass
1.0,0.0,1.555705975878746,0.1210655172058861,0.6714712799200323,-0.43354248282924257,0.27924718338057225,1906706.264232623,388717546.7512257,255570597.5878746,0.06510347814331796,0.14300697132632142,0.40174330973441336,-0.23080420875632968,2.6970248773559153,969,1448,False,True,True,True,True,True,True,False
0.8,0.19999999999999996,1.188501753134314,0.1000861420262329,0.6728475445384504,-0.35492210018259096,0.281994674253148,1556191.876682381,319063446.5538372,218850175.3134314,0.06855500961282757,0.13970356439410378,0.40251256558334286,-0.23524901372987378,2.631998279550415,967,1444,False,True,True,True,True,True,True,False
0.7,0.30000000000000004,1.0137707847001187,0.0889941925424651,0.6729436056113712,-0.31406282930090956,0.28336429605681884,1384700.0953497903,284875181.5076509,201377078.47001186,0.06714945934699834,0.138367600489431,0.4030503684538407,-0.23743717141439677,2.596505178984538,967,1444,False,True,True,True,True,True,True,False
0.6,0.4,0.8457483290263299,0.07750006662450137,0.6725646883987122,-0.2722106351729383,0.28470624072150874,1211825.27840813,250230804.4949086,184574832.90263298,0.0636413143229353,0.1371882531828486,0.4036928126342154,-0.2397180894326617,2.5588803905287056,967,1444,True,True,True,True,True,True,True,True
0.5,0.5,0.684997929805415,0.06560849180384842,0.6717055084556129,-0.22936509617573864,0.28604392253989447,1030294.4031848969,213503181.28914902,168499792.9805415,0.05809025092954645,0.13620523686261687,0.404396728762442,-0.2419187323155818,2.518976550879475,965,1442,True,True,True,True,True,False,True,False
